Namespace(dict='data/CBTest/data/cbtest_NE_train.txtdict.pt', model='models/gru/model2_epoch8_acc_70.25.pt', out='models/gru/model2_epoch8_acc_70.25.ptresult.txt', testdata='data/CBTest/data/cbtest_NE_test_2500ex.txt.pt')
Loading dict data/CBTest/data/cbtest_NE_train.txtdict.pt
Loading test data
Loading model from  models/gru/model2_epoch8_acc_70.25.pt
 * vocabulary size = 15683
 * number of test samples. 2500
 * maximum batch size. 64
Building model...
Evaluate on test data
248 : 25 : 1
499 : 2 : 0
525 : 41 : 1
462 : 54 : 1
285 : 4 : 1
692 : 28 : 1
712 : 32 : 1
260 : 27 : 1
410 : 22 : 1
225 : 14 : 1
448 : 8 : 1
288 : 9 : 0
638 : 33 : 1
255 : 12 : 1
526 : 17 : 0
220 : 9 : 0
372 : 68 : 1
518 : 29 : 0
348 : 11 : 0
539 : 6 : 1
512 : 20 : 1
300 : 9 : 1
244 : 22 : 0
397 : 25 : 1
400 : 16 : 1
412 : 24 : 0
427 : 20 : 1
362 : 35 : 1
262 : 4 : 0
323 : 14 : 1
385 : 17 : 0
824 : 37 : 1
256 : 40 : 0
319 : 24 : 1
600 : 52 : 1
323 : 14 : 1
303 : 43 : 0
636 : 33 : 1
413 : 42 : 1
465 : 15 : 0
518 : 29 : 1
376 : 43 : 1
637 : 27 : 0
595 : 15 : 1
629 : 55 : 1
265 : 17 : 1
318 : 33 : 1
320 : 79 : 1
533 : 24 : 1
820 : 103 : 0
517 : 56 : 0
261 : 5 : 1
435 : 20 : 0
343 : 28 : 0
333 : 42 : 0
614 : 23 : 1
726 : 30 : 1
318 : 4 : 1
352 : 20 : 1
429 : 33 : 1
309 : 29 : 1
344 : 36 : 1
375 : 18 : 0
361 : 26 : 1
473 : 24 : 1
256 : 12 : 0
706 : 25 : 1
359 : 10 : 1
312 : 14 : 1
508 : 28 : 0
508 : 46 : 1
252 : 18 : 1
505 : 54 : 1
420 : 24 : 0
408 : 59 : 0
413 : 50 : 1
526 : 23 : 1
432 : 57 : 0
295 : 9 : 1
471 : 24 : 0
460 : 29 : 1
405 : 12 : 1
212 : 14 : 1
287 : 40 : 1
501 : 16 : 1
405 : 42 : 0
325 : 41 : 1
383 : 31 : 1
340 : 11 : 0
545 : 18 : 0
599 : 32 : 1
515 : 22 : 1
496 : 12 : 1
517 : 30 : 1
572 : 57 : 0
494 : 14 : 1
630 : 53 : 0
466 : 18 : 1
291 : 4 : 0
225 : 11 : 1
277 : 5 : 1
370 : 18 : 1
417 : 22 : 0
451 : 25 : 0
642 : 33 : 1
272 : 16 : 1
438 : 63 : 0
587 : 38 : 1
395 : 37 : 1
280 : 15 : 1
372 : 59 : 1
362 : 61 : 0
483 : 25 : 1
363 : 3 : 1
539 : 32 : 0
406 : 24 : 0
433 : 57 : 0
353 : 11 : 1
610 : 40 : 0
315 : 5 : 1
272 : 14 : 0
236 : 11 : 0
560 : 3 : 1
482 : 25 : 0
581 : 18 : 1
349 : 15 : 0
646 : 40 : 1
363 : 14 : 0
424 : 25 : 1
390 : 22 : 1
290 : 12 : 0
319 : 24 : 1
453 : 61 : 0
277 : 34 : 1
395 : 65 : 1
337 : 16 : 1
425 : 27 : 0
383 : 26 : 1
429 : 15 : 0
307 : 4 : 1
467 : 18 : 1
293 : 4 : 1
414 : 31 : 0
407 : 4 : 1
365 : 27 : 0
426 : 11 : 0
359 : 42 : 0
353 : 27 : 1
529 : 22 : 1
281 : 14 : 1
323 : 9 : 0
429 : 16 : 1
346 : 43 : 1
437 : 10 : 1
440 : 32 : 0
462 : 33 : 0
492 : 40 : 1
646 : 49 : 1
256 : 53 : 1
675 : 49 : 0
284 : 8 : 0
548 : 22 : 1
362 : 23 : 0
309 : 33 : 0
436 : 58 : 0
612 : 50 : 1
371 : 23 : 0
392 : 6 : 0
393 : 18 : 1
288 : 23 : 1
207 : 23 : 1
292 : 8 : 0
204 : 29 : 1
490 : 32 : 0
643 : 37 : 0
395 : 9 : 0
253 : 18 : 1
484 : 8 : 0
207 : 36 : 0
571 : 31 : 1
474 : 28 : 0
330 : 32 : 1
635 : 37 : 0
339 : 16 : 1
264 : 35 : 0
278 : 19 : 0
412 : 20 : 0
337 : 6 : 1
416 : 62 : 1
443 : 45 : 1
318 : 15 : 1
266 : 22 : 1
479 : 58 : 1
253 : 10 : 1
665 : 120 : 1
442 : 35 : 1
635 : 31 : 1
365 : 7 : 1
268 : 8 : 1
351 : 51 : 1
286 : 13 : 1
605 : 30 : 1
346 : 24 : 1
689 : 30 : 1
600 : 26 : 0
341 : 16 : 0
462 : 27 : 1
215 : 3 : 0
304 : 16 : 1
242 : 54 : 1
497 : 49 : 0
392 : 16 : 1
483 : 18 : 0
283 : 5 : 1
306 : 25 : 1
451 : 11 : 1
337 : 13 : 0
343 : 30 : 1
623 : 25 : 0
255 : 11 : 1
354 : 12 : 1
308 : 29 : 0
912 : 65 : 1
535 : 27 : 1
397 : 24 : 0
238 : 17 : 0
612 : 50 : 1
505 : 38 : 0
260 : 6 : 1
275 : 9 : 1
237 : 10 : 1
720 : 12 : 0
323 : 45 : 1
247 : 7 : 1
266 : 50 : 1
637 : 48 : 1
366 : 32 : 0
510 : 75 : 1
391 : 32 : 1
401 : 10 : 1
336 : 71 : 1
500 : 46 : 1
239 : 26 : 1
359 : 17 : 1
353 : 14 : 1
439 : 33 : 1
248 : 13 : 1
311 : 11 : 1
342 : 39 : 0
270 : 17 : 0
407 : 18 : 1
505 : 6 : 0
486 : 32 : 0
361 : 31 : 1
483 : 55 : 0
655 : 11 : 1
265 : 9 : 0
627 : 32 : 0
656 : 37 : 1
373 : 11 : 1
389 : 15 : 1
212 : 5 : 0
343 : 10 : 1
507 : 14 : 0
290 : 66 : 1
395 : 65 : 0
519 : 59 : 1
310 : 18 : 0
665 : 120 : 0
396 : 23 : 1
249 : 27 : 0
340 : 51 : 1
323 : 23 : 0
824 : 37 : 1
134 : 15 : 1
429 : 13 : 0
357 : 42 : 1
619 : 27 : 1
390 : 41 : 1
293 : 15 : 0
469 : 49 : 0
516 : 4 : 0
291 : 4 : 1
324 : 42 : 1
405 : 39 : 0
289 : 38 : 1
532 : 30 : 0
479 : 3 : 1
486 : 14 : 1
438 : 29 : 1
354 : 26 : 1
652 : 16 : 0
336 : 22 : 0
251 : 28 : 0
361 : 90 : 0
545 : 53 : 1
652 : 52 : 1
308 : 10 : 0
415 : 37 : 1
431 : 10 : 1
469 : 11 : 1
305 : 15 : 0
279 : 9 : 1
366 : 32 : 0
377 : 29 : 0
686 : 25 : 0
394 : 34 : 1
576 : 38 : 1
295 : 31 : 0
462 : 21 : 0
508 : 47 : 1
320 : 5 : 1
265 : 29 : 1
273 : 41 : 1
528 : 39 : 0
657 : 9 : 0
564 : 56 : 1
348 : 36 : 0
663 : 37 : 1
579 : 41 : 1
454 : 71 : 0
432 : 40 : 0
302 : 50 : 1
402 : 30 : 1
535 : 44 : 1
420 : 13 : 0
412 : 11 : 1
303 : 57 : 1
255 : 10 : 1
365 : 40 : 1
426 : 24 : 0
386 : 28 : 0
288 : 44 : 1
289 : 39 : 0
409 : 26 : 1
401 : 15 : 1
449 : 55 : 1
208 : 56 : 1
326 : 14 : 0
302 : 41 : 0
352 : 28 : 1
382 : 30 : 1
427 : 9 : 0
236 : 29 : 1
334 : 33 : 1
455 : 30 : 0
376 : 26 : 1
375 : 18 : 1
565 : 59 : 0
279 : 8 : 1
472 : 11 : 1
351 : 9 : 1
306 : 11 : 0
527 : 80 : 1
433 : 31 : 0
389 : 60 : 1
637 : 67 : 1
238 : 30 : 1
480 : 65 : 1
583 : 45 : 1
338 : 20 : 1
247 : 9 : 1
335 : 17 : 1
484 : 40 : 0
451 : 24 : 1
850 : 31 : 1
803 : 33 : 1
343 : 34 : 1
381 : 11 : 1
545 : 53 : 0
660 : 47 : 1
432 : 18 : 0
601 : 20 : 0
323 : 45 : 0
319 : 36 : 1
568 : 35 : 0
635 : 36 : 0
374 : 41 : 1
359 : 28 : 1
593 : 35 : 1
365 : 10 : 1
636 : 35 : 1
532 : 22 : 1
367 : 10 : 1
244 : 17 : 0
226 : 8 : 0
591 : 41 : 0
374 : 23 : 0
338 : 25 : 1
380 : 16 : 1
441 : 63 : 1
292 : 18 : 1
306 : 21 : 1
270 : 17 : 0
518 : 39 : 1
203 : 18 : 1
286 : 44 : 1
712 : 32 : 0
386 : 14 : 1
513 : 43 : 0
718 : 20 : 1
587 : 18 : 1
403 : 12 : 1
250 : 10 : 0
395 : 26 : 1
385 : 39 : 1
283 : 8 : 0
220 : 30 : 0
283 : 6 : 1
339 : 41 : 1
225 : 21 : 1
192 : 11 : 1
613 : 45 : 1
578 : 15 : 0
524 : 27 : 1
331 : 14 : 1
284 : 13 : 1
604 : 15 : 1
438 : 8 : 1
328 : 38 : 1
484 : 40 : 0
383 : 45 : 1
309 : 33 : 1
252 : 16 : 0
474 : 21 : 1
337 : 35 : 1
519 : 37 : 1
363 : 11 : 0
502 : 15 : 1
361 : 35 : 0
334 : 14 : 1
405 : 10 : 0
386 : 21 : 0
261 : 3 : 0
285 : 17 : 1
348 : 21 : 1
302 : 39 : 1
376 : 4 : 1
495 : 45 : 1
247 : 9 : 1
627 : 20 : 1
428 : 17 : 1
390 : 30 : 1
511 : 24 : 1
546 : 19 : 1
242 : 9 : 0
424 : 18 : 1
302 : 41 : 1
304 : 8 : 0
418 : 27 : 1
583 : 45 : 0
393 : 14 : 0
331 : 3 : 0
221 : 25 : 1
579 : 50 : 0
303 : 18 : 1
561 : 43 : 1
418 : 19 : 1
408 : 10 : 1
333 : 44 : 1
375 : 29 : 1
358 : 25 : 0
379 : 4 : 1
450 : 9 : 1
446 : 17 : 1
289 : 14 : 0
368 : 27 : 1
636 : 24 : 1
300 : 10 : 0
347 : 14 : 0
279 : 47 : 0
690 : 25 : 0
581 : 77 : 1
391 : 21 : 0
272 : 16 : 1
439 : 22 : 1
585 : 32 : 1
631 : 39 : 1
351 : 8 : 1
633 : 18 : 0
545 : 202 : 1
254 : 25 : 1
503 : 19 : 1
562 : 31 : 1
307 : 24 : 1
497 : 30 : 1
290 : 8 : 1
376 : 12 : 0
313 : 32 : 0
451 : 9 : 1
680 : 103 : 1
526 : 72 : 0
300 : 20 : 1
429 : 5 : 1
301 : 15 : 0
671 : 46 : 1
597 : 39 : 1
277 : 7 : 1
482 : 20 : 1
434 : 18 : 1
403 : 32 : 1
265 : 21 : 0
380 : 24 : 0
613 : 10 : 1
627 : 15 : 0
445 : 18 : 1
428 : 20 : 0
740 : 18 : 1
666 : 26 : 1
495 : 59 : 0
428 : 25 : 0
260 : 6 : 1
575 : 32 : 0
330 : 19 : 1
385 : 18 : 1
378 : 53 : 1
550 : 52 : 0
292 : 11 : 1
686 : 35 : 0
980 : 38 : 1
328 : 14 : 1
471 : 60 : 1
411 : 14 : 1
310 : 36 : 0
428 : 16 : 1
627 : 29 : 0
444 : 19 : 1
301 : 12 : 0
548 : 16 : 0
336 : 5 : 1
235 : 14 : 1
349 : 38 : 1
622 : 18 : 1
574 : 45 : 1
301 : 13 : 1
323 : 5 : 1
319 : 31 : 0
381 : 41 : 1
369 : 36 : 0
360 : 11 : 1
283 : 22 : 1
412 : 8 : 1
607 : 32 : 0
611 : 29 : 1
357 : 18 : 1
467 : 15 : 1
744 : 38 : 1
463 : 37 : 1
503 : 53 : 1
435 : 11 : 1
549 : 30 : 1
540 : 45 : 0
279 : 22 : 0
433 : 45 : 1
556 : 3 : 0
349 : 11 : 1
327 : 7 : 0
586 : 9 : 1
492 : 56 : 1
283 : 23 : 1
680 : 32 : 0
639 : 30 : 0
639 : 13 : 1
334 : 13 : 0
503 : 53 : 0
286 : 14 : 1
430 : 9 : 1
728 : 15 : 1
314 : 11 : 1
387 : 33 : 0
340 : 39 : 0
357 : 27 : 0
526 : 4 : 1
574 : 46 : 0
332 : 19 : 0
289 : 38 : 0
402 : 36 : 1
311 : 8 : 1
436 : 12 : 0
282 : 11 : 0
385 : 11 : 1
319 : 15 : 0
601 : 40 : 1
407 : 18 : 1
605 : 30 : 1
425 : 29 : 1
619 : 22 : 0
275 : 43 : 1
255 : 24 : 1
600 : 23 : 1
660 : 20 : 0
328 : 12 : 1
353 : 17 : 1
254 : 14 : 0
706 : 25 : 1
287 : 38 : 0
393 : 20 : 1
462 : 54 : 1
432 : 23 : 1
274 : 12 : 1
657 : 10 : 1
233 : 28 : 1
527 : 25 : 0
651 : 26 : 0
215 : 22 : 0
526 : 19 : 1
325 : 32 : 1
236 : 17 : 1
274 : 6 : 1
458 : 10 : 1
380 : 11 : 0
275 : 15 : 1
876 : 13 : 0
280 : 39 : 1
321 : 23 : 0
567 : 24 : 1
602 : 39 : 0
264 : 35 : 0
294 : 18 : 1
357 : 22 : 1
391 : 32 : 1
476 : 31 : 1
403 : 13 : 1
321 : 11 : 1
211 : 57 : 0
427 : 26 : 1
365 : 53 : 0
405 : 39 : 1
601 : 36 : 1
731 : 19 : 0
338 : 32 : 0
390 : 26 : 1
410 : 55 : 0
239 : 26 : 0
415 : 36 : 1
469 : 20 : 1
610 : 27 : 1
195 : 13 : 1
468 : 28 : 1
623 : 32 : 0
244 : 12 : 1
253 : 18 : 1
380 : 31 : 1
295 : 24 : 1
312 : 71 : 1
349 : 26 : 0
308 : 33 : 0
561 : 43 : 1
467 : 4 : 0
439 : 13 : 0
612 : 18 : 0
552 : 16 : 0
358 : 58 : 1
323 : 49 : 0
592 : 26 : 0
686 : 32 : 0
239 : 12 : 0
601 : 25 : 1
562 : 44 : 1
615 : 45 : 1
652 : 41 : 1
295 : 27 : 1
686 : 38 : 1
819 : 67 : 0
446 : 28 : 1
354 : 55 : 1
463 : 52 : 1
620 : 30 : 0
260 : 28 : 1
259 : 5 : 1
221 : 8 : 0
614 : 56 : 1
292 : 21 : 1
542 : 27 : 1
458 : 109 : 1
315 : 16 : 1
554 : 25 : 1
201 : 30 : 1
562 : 26 : 1
449 : 14 : 0
357 : 7 : 1
316 : 14 : 0
505 : 10 : 1
279 : 25 : 0
621 : 8 : 1
435 : 22 : 1
388 : 18 : 1
351 : 10 : 1
484 : 29 : 1
310 : 5 : 1
369 : 14 : 1
523 : 11 : 1
470 : 55 : 1
629 : 27 : 0
485 : 7 : 0
520 : 68 : 1
539 : 32 : 1
609 : 3 : 1
353 : 11 : 1
408 : 23 : 1
470 : 76 : 0
592 : 28 : 1
575 : 23 : 1
552 : 10 : 0
359 : 5 : 0
212 : 3 : 1
361 : 19 : 0
803 : 33 : 0
478 : 36 : 0
471 : 18 : 1
621 : 20 : 1
433 : 34 : 1
322 : 39 : 1
308 : 8 : 1
341 : 27 : 1
622 : 50 : 1
288 : 21 : 1
433 : 36 : 0
315 : 11 : 1
777 : 9 : 1
451 : 48 : 1
560 : 45 : 1
484 : 34 : 1
478 : 40 : 1
471 : 31 : 0
373 : 23 : 1
432 : 69 : 1
505 : 38 : 1
451 : 22 : 1
240 : 23 : 1
291 : 9 : 1
589 : 25 : 1
483 : 89 : 1
334 : 15 : 1
510 : 22 : 1
406 : 24 : 0
682 : 25 : 1
226 : 20 : 0
613 : 47 : 1
304 : 27 : 1
482 : 57 : 0
493 : 12 : 1
442 : 29 : 1
655 : 22 : 0
315 : 22 : 0
241 : 38 : 1
338 : 23 : 0
516 : 9 : 1
701 : 61 : 0
663 : 22 : 1
568 : 51 : 1
333 : 17 : 1
659 : 70 : 1
681 : 42 : 1
377 : 15 : 1
518 : 19 : 0
359 : 17 : 1
327 : 10 : 1
518 : 30 : 1
338 : 8 : 1
437 : 33 : 0
465 : 35 : 0
319 : 3 : 1
316 : 7 : 1
396 : 26 : 1
625 : 17 : 0
547 : 23 : 0
397 : 10 : 1
570 : 38 : 0
513 : 34 : 1
368 : 47 : 1
571 : 34 : 1
521 : 28 : 0
564 : 24 : 1
563 : 25 : 1
372 : 14 : 0
608 : 19 : 1
473 : 26 : 1
703 : 35 : 1
255 : 40 : 0
294 : 12 : 0
339 : 24 : 1
285 : 17 : 0
232 : 14 : 1
390 : 10 : 1
447 : 10 : 1
453 : 15 : 0
402 : 20 : 1
342 : 24 : 1
621 : 29 : 1
360 : 77 : 1
386 : 23 : 1
284 : 33 : 1
415 : 26 : 1
495 : 56 : 0
485 : 35 : 1
215 : 22 : 1
379 : 18 : 1
682 : 39 : 1
354 : 18 : 1
645 : 36 : 0
504 : 44 : 0
359 : 47 : 1
277 : 13 : 1
609 : 31 : 0
322 : 7 : 1
609 : 10 : 1
467 : 10 : 1
385 : 10 : 1
225 : 7 : 0
691 : 40 : 1
297 : 22 : 1
540 : 49 : 1
325 : 27 : 0
304 : 31 : 1
416 : 30 : 1
642 : 27 : 1
335 : 3 : 0
312 : 47 : 1
386 : 11 : 0
315 : 16 : 0
437 : 12 : 0
301 : 16 : 1
491 : 16 : 0
322 : 17 : 1
411 : 34 : 1
330 : 5 : 0
402 : 42 : 1
476 : 36 : 1
432 : 18 : 1
523 : 4 : 1
300 : 33 : 1
394 : 40 : 1
325 : 32 : 0
423 : 43 : 0
617 : 33 : 0
746 : 62 : 0
337 : 28 : 1
666 : 35 : 1
424 : 10 : 0
762 : 43 : 1
502 : 20 : 0
762 : 43 : 1
408 : 55 : 0
477 : 46 : 1
532 : 45 : 1
437 : 3 : 0
327 : 11 : 1
583 : 54 : 1
592 : 44 : 1
234 : 57 : 0
358 : 32 : 0
787 : 24 : 1
667 : 29 : 0
307 : 45 : 1
453 : 151 : 1
330 : 50 : 1
304 : 54 : 0
739 : 30 : 1
513 : 3 : 1
267 : 10 : 0
565 : 49 : 1
428 : 26 : 1
404 : 12 : 0
526 : 40 : 0
797 : 49 : 1
318 : 23 : 1
314 : 3 : 1
476 : 25 : 0
292 : 59 : 1
641 : 40 : 1
468 : 21 : 1
240 : 15 : 0
614 : 41 : 1
269 : 27 : 1
414 : 9 : 1
480 : 34 : 0
370 : 18 : 0
349 : 38 : 1
741 : 21 : 1
470 : 76 : 1
527 : 80 : 1
744 : 25 : 1
287 : 42 : 1
508 : 16 : 0
523 : 7 : 1
550 : 17 : 0
246 : 6 : 1
221 : 21 : 0
482 : 20 : 0
589 : 35 : 1
275 : 11 : 1
349 : 9 : 1
664 : 57 : 1
627 : 20 : 0
215 : 20 : 1
318 : 21 : 0
263 : 15 : 1
427 : 5 : 1
442 : 23 : 0
457 : 43 : 0
258 : 17 : 1
560 : 19 : 1
288 : 24 : 0
597 : 62 : 0
341 : 10 : 1
479 : 38 : 1
308 : 10 : 1
578 : 31 : 1
271 : 24 : 0
364 : 13 : 0
530 : 26 : 0
274 : 11 : 1
428 : 33 : 1
445 : 48 : 1
458 : 11 : 0
334 : 25 : 1
774 : 31 : 0
530 : 26 : 1
405 : 89 : 0
295 : 19 : 0
242 : 37 : 1
580 : 33 : 1
153 : 9 : 1
571 : 38 : 0
614 : 31 : 1
732 : 29 : 0
435 : 32 : 1
511 : 25 : 1
544 : 63 : 1
676 : 44 : 0
184 : 19 : 1
481 : 28 : 0
214 : 8 : 1
383 : 34 : 1
290 : 31 : 1
298 : 17 : 1
533 : 48 : 0
483 : 16 : 1
352 : 31 : 0
320 : 20 : 1
465 : 50 : 1
289 : 12 : 1
280 : 3 : 1
237 : 17 : 1
378 : 37 : 1
528 : 23 : 1
611 : 51 : 1
219 : 7 : 0
210 : 15 : 0
464 : 25 : 1
509 : 27 : 1
554 : 59 : 1
400 : 22 : 1
547 : 25 : 0
314 : 21 : 1
255 : 15 : 0
515 : 33 : 0
322 : 7 : 1
394 : 13 : 1
278 : 19 : 1
618 : 82 : 0
228 : 12 : 1
496 : 41 : 0
348 : 15 : 0
521 : 58 : 0
634 : 33 : 1
294 : 17 : 1
657 : 16 : 1
507 : 16 : 0
482 : 14 : 0
522 : 54 : 0
713 : 32 : 1
305 : 11 : 0
280 : 39 : 1
336 : 18 : 1
739 : 44 : 1
635 : 13 : 1
359 : 16 : 1
772 : 42 : 1
585 : 42 : 1
404 : 37 : 1
375 : 21 : 1
276 : 20 : 0
931 : 81 : 1
606 : 67 : 0
391 : 27 : 1
640 : 57 : 0
344 : 32 : 0
412 : 42 : 0
361 : 9 : 0
417 : 24 : 1
383 : 20 : 1
309 : 20 : 0
315 : 16 : 1
464 : 19 : 0
360 : 14 : 1
378 : 18 : 1
346 : 9 : 1
616 : 38 : 1
298 : 8 : 1
250 : 8 : 0
660 : 16 : 1
332 : 36 : 0
687 : 33 : 1
295 : 12 : 1
621 : 22 : 1
386 : 8 : 1
417 : 9 : 1
569 : 7 : 1
459 : 22 : 0
442 : 3 : 0
330 : 16 : 1
493 : 39 : 0
304 : 27 : 0
413 : 12 : 1
344 : 9 : 0
312 : 28 : 1
294 : 6 : 1
303 : 24 : 0
377 : 36 : 0
502 : 32 : 0
268 : 3 : 1
291 : 34 : 1
359 : 47 : 0
361 : 83 : 1
297 : 33 : 1
341 : 16 : 1
462 : 22 : 1
335 : 35 : 0
308 : 15 : 0
674 : 29 : 1
335 : 22 : 0
296 : 23 : 0
591 : 30 : 0
467 : 40 : 1
362 : 61 : 1
345 : 18 : 1
332 : 11 : 1
382 : 27 : 1
375 : 14 : 1
420 : 18 : 1
421 : 7 : 1
503 : 30 : 1
249 : 9 : 1
550 : 46 : 0
209 : 23 : 1
374 : 41 : 1
327 : 38 : 1
480 : 21 : 0
330 : 11 : 1
551 : 37 : 0
535 : 3 : 1
590 : 15 : 1
401 : 22 : 1
651 : 12 : 1
498 : 5 : 1
449 : 50 : 0
621 : 27 : 1
263 : 11 : 1
526 : 36 : 1
484 : 9 : 0
251 : 34 : 0
345 : 14 : 1
259 : 16 : 0
217 : 46 : 1
678 : 28 : 0
362 : 39 : 1
456 : 30 : 0
333 : 23 : 0
569 : 3 : 0
340 : 6 : 1
292 : 31 : 1
314 : 20 : 0
636 : 24 : 0
249 : 30 : 1
212 : 10 : 1
433 : 36 : 0
585 : 28 : 0
677 : 35 : 1
165 : 8 : 1
266 : 23 : 1
412 : 17 : 1
507 : 14 : 0
301 : 3 : 1
244 : 7 : 1
374 : 3 : 1
232 : 21 : 0
338 : 32 : 1
307 : 49 : 1
358 : 11 : 0
350 : 23 : 1
296 : 40 : 1
310 : 20 : 1
412 : 17 : 1
896 : 4 : 1
516 : 75 : 1
263 : 15 : 0
687 : 78 : 1
361 : 15 : 0
682 : 24 : 0
394 : 51 : 1
564 : 56 : 0
226 : 23 : 0
432 : 57 : 1
373 : 33 : 1
783 : 29 : 1
305 : 28 : 1
227 : 10 : 1
533 : 18 : 1
536 : 16 : 1
461 : 22 : 1
628 : 11 : 1
592 : 44 : 0
559 : 29 : 0
623 : 53 : 0
562 : 21 : 0
620 : 45 : 1
778 : 79 : 1
308 : 19 : 1
313 : 16 : 1
412 : 42 : 0
338 : 2 : 0
406 : 22 : 1
482 : 25 : 0
679 : 46 : 1
257 : 42 : 1
518 : 26 : 1
380 : 19 : 0
440 : 47 : 0
528 : 39 : 1
304 : 26 : 1
384 : 41 : 1
349 : 8 : 0
329 : 41 : 1
338 : 25 : 0
475 : 12 : 0
378 : 12 : 0
379 : 46 : 1
493 : 25 : 0
341 : 36 : 1
572 : 57 : 0
358 : 21 : 0
264 : 15 : 1
375 : 55 : 1
398 : 22 : 1
577 : 31 : 1
296 : 19 : 1
446 : 35 : 1
316 : 23 : 1
263 : 58 : 1
365 : 53 : 1
388 : 29 : 0
301 : 15 : 1
513 : 43 : 1
360 : 14 : 1
575 : 25 : 0
586 : 22 : 1
551 : 24 : 0
281 : 5 : 1
500 : 50 : 1
310 : 28 : 0
397 : 3 : 1
288 : 37 : 1
295 : 29 : 1
666 : 35 : 1
539 : 59 : 0
698 : 19 : 0
436 : 41 : 1
292 : 22 : 0
433 : 3 : 1
393 : 19 : 0
473 : 24 : 0
290 : 25 : 1
385 : 20 : 1
249 : 4 : 0
452 : 40 : 1
549 : 19 : 1
251 : 9 : 0
517 : 16 : 1
358 : 29 : 1
384 : 35 : 1
270 : 20 : 1
255 : 7 : 1
594 : 17 : 1
458 : 11 : 0
415 : 37 : 0
426 : 52 : 1
297 : 30 : 0
411 : 28 : 0
356 : 22 : 1
318 : 11 : 1
427 : 23 : 1
473 : 26 : 0
721 : 34 : 0
729 : 43 : 0
338 : 45 : 0
465 : 48 : 0
280 : 11 : 1
441 : 9 : 0
332 : 19 : 0
592 : 33 : 1
292 : 23 : 1
611 : 46 : 1
262 : 17 : 1
521 : 58 : 0
375 : 21 : 1
334 : 33 : 1
333 : 32 : 1
392 : 21 : 0
436 : 12 : 1
341 : 11 : 1
252 : 11 : 0
663 : 67 : 1
282 : 11 : 1
228 : 4 : 1
552 : 28 : 1
266 : 15 : 1
297 : 21 : 0
398 : 31 : 1
298 : 9 : 1
428 : 5 : 1
302 : 50 : 0
228 : 20 : 0
367 : 13 : 0
300 : 18 : 1
300 : 35 : 0
484 : 14 : 1
687 : 33 : 1
649 : 22 : 1
570 : 16 : 1
341 : 35 : 1
362 : 16 : 1
626 : 31 : 1
433 : 8 : 1
643 : 40 : 1
273 : 4 : 1
421 : 14 : 0
430 : 29 : 1
304 : 54 : 0
555 : 32 : 0
409 : 28 : 1
551 : 22 : 1
474 : 7 : 0
653 : 70 : 1
383 : 29 : 0
657 : 54 : 1
482 : 3 : 1
248 : 13 : 1
202 : 21 : 0
462 : 38 : 1
568 : 31 : 1
470 : 32 : 1
515 : 14 : 1
295 : 19 : 0
727 : 31 : 1
381 : 44 : 0
274 : 16 : 1
467 : 25 : 1
378 : 45 : 1
537 : 24 : 0
308 : 6 : 1
331 : 20 : 1
473 : 20 : 1
378 : 21 : 0
262 : 9 : 0
560 : 6 : 1
423 : 43 : 1
212 : 49 : 1
340 : 17 : 0
264 : 21 : 1
Evaluating on test set:
Accurary 65.24%
