Namespace(dict='data/CBTest/data/cbtest_NE_train.txtdict.pt', model='models/gru/model2_epoch8_acc_70.25.pt', out='models/gru/model2_epoch8_acc_70.25.ptresult.txt', testdata='data/CBTest/data/cbtest_NE_test_2500ex.txt.pt')
Loading dict data/CBTest/data/cbtest_NE_train.txtdict.pt
Loading test data
Loading model from  models/gru/model2_epoch8_acc_70.25.pt
 * vocabulary size = 15683
 * number of test samples. 2500
 * maximum batch size. 64
Building model...
Evaluate on test data
491 : 45 : 1
244 : 43 : 0
670 : 43 : 1
504 : 59 : 1
343 : 21 : 1
481 : 30 : 0
410 : 38 : 1
345 : 15 : 1
329 : 11 : 0
353 : 47 : 0
861 : 45 : 1
648 : 33 : 0
188 : 29 : 1
301 : 17 : 1
607 : 13 : 1
335 : 32 : 1
697 : 4 : 1
207 : 15 : 1
538 : 52 : 1
483 : 47 : 1
287 : 12 : 1
437 : 5 : 0
592 : 32 : 1
394 : 13 : 1
302 : 60 : 1
330 : 7 : 1
263 : 16 : 1
280 : 16 : 0
320 : 31 : 0
326 : 25 : 1
555 : 67 : 0
473 : 24 : 0
526 : 31 : 0
468 : 25 : 0
684 : 5 : 0
342 : 16 : 1
330 : 27 : 1
525 : 42 : 0
327 : 8 : 1
257 : 35 : 0
469 : 16 : 0
562 : 33 : 0
701 : 14 : 1
236 : 14 : 1
542 : 27 : 0
643 : 37 : 1
578 : 27 : 1
285 : 30 : 1
318 : 17 : 1
486 : 27 : 1
316 : 41 : 0
315 : 4 : 1
455 : 23 : 1
526 : 46 : 0
427 : 24 : 0
448 : 23 : 0
465 : 48 : 1
271 : 18 : 1
667 : 19 : 1
398 : 12 : 1
469 : 20 : 0
299 : 15 : 1
406 : 14 : 0
588 : 28 : 0
274 : 19 : 0
494 : 72 : 1
353 : 5 : 0
697 : 34 : 0
350 : 44 : 0
409 : 49 : 0
379 : 19 : 0
475 : 26 : 1
306 : 20 : 0
271 : 20 : 1
335 : 19 : 0
347 : 5 : 1
627 : 25 : 0
323 : 23 : 1
316 : 11 : 1
544 : 45 : 1
340 : 45 : 0
223 : 34 : 0
622 : 20 : 1
354 : 34 : 0
361 : 35 : 1
259 : 13 : 0
437 : 15 : 1
343 : 32 : 1
309 : 4 : 1
267 : 25 : 1
380 : 66 : 0
329 : 8 : 0
426 : 17 : 0
326 : 3 : 0
398 : 31 : 0
556 : 97 : 1
630 : 53 : 0
376 : 7 : 1
219 : 12 : 1
265 : 16 : 0
609 : 54 : 0
279 : 24 : 1
533 : 53 : 1
590 : 26 : 1
599 : 23 : 1
607 : 27 : 0
444 : 44 : 1
395 : 23 : 1
303 : 33 : 0
523 : 48 : 0
360 : 42 : 0
602 : 14 : 0
477 : 22 : 0
515 : 37 : 1
466 : 16 : 1
505 : 38 : 1
485 : 29 : 0
327 : 3 : 1
524 : 15 : 1
